policy,tpr,fpr,threshold
fast_only,0.10106063638182909,0.026387907939383615,0.9969765469537845
slow_only,0.2631578947368421,0.02782016350715798,0.7596183524353275
fast_or_slow,0.3054832899739844,0.0482990929493507,OR
