signal_inc,policy,tpr_24h,fpr_24h,tpr_120h,fpr_120h,h_y_bits,ce_bits,mi_feat_bits,mi_state_given_feat_bits,rdet,rdet_lo,rdet_hi
0.02,myopic,0.10436261757054233,0.04980681805503887,0.13267960776465879,0.05012777069582843,0.4237637521873894,0.42136040884475134,0.0024033433426380313,0.0,0.0,0.0,0.0
0.02,clock,0.0051030618371022615,0.049867602177918205,0.05663398038823294,0.04987172904517384,0.4237637521873894,0.3615750936246199,0.0024033433426380313,0.05978531522013142,0.9613539928633089,0.9607902982967766,0.9621660469989586
0.02,fast,0.5467280368220933,0.05001610009837026,0.9404642785671403,0.0503306029803612,0.4237637521873894,0.14454179077256843,0.0024033433426380313,0.2768186180721829,0.991392713773443,0.9913520618700721,0.9915098011960725
0.02,fast_bc,0.3603161897138283,0.04993377223573622,0.8517110266159695,0.04988491769147754,0.4237637521873894,0.21384664201194273,0.0024033433426380313,0.20751376683280862,0.9885509888134925,0.9885067654033495,0.9886884118984438
0.03,myopic,0.11376826095657394,0.04955560266111351,0.14478687212327396,0.049900835023223386,0.4237637521873894,0.41978380084403655,0.003979951343352828,0.0,0.0,0.0,0.0
0.03,clock,0.005803482089253552,0.049875681080326216,0.06263758254952972,0.04992130016403947,0.4237637521873894,0.3600938640391906,0.003979951343352828,0.05968993680484597,0.9374908381480261,0.936552991221987,0.9386295742271592
0.03,fast,0.7043225935561337,0.049521748212927555,0.9898939363618171,0.05055162650117492,0.4237637521873894,0.09629150999391048,0.003979951343352828,0.3234922908501261,0.9878464467195929,0.9877955595435245,0.9879688585439323
0.03,fast_bc,0.5224134480688413,0.0499987881646388,0.966379827896738,0.050090023880545426,0.4237637521873894,0.15607329072422665,0.003979951343352828,0.2637105101198099,0.9851322631310847,0.9850798620780564,0.9852502641310859
0.05,myopic,0.15449269561737042,0.05009573499353495,0.19551731038623174,0.04971664875587861,0.4237637521873894,0.41476564278298134,0.008998109404408039,0.0,0.0,0.0,0.0
0.05,clock,0.010006003602161296,0.04999224810078469,0.08825295177106264,0.05005955355977481,0.4237637521873894,0.3553951351984706,0.008998109404408039,0.059370507584510734,0.868388307374033,0.86647068544803,0.8704067710771413
0.05,fast,0.9180508304982989,0.04934709003705908,0.9996998198919351,0.049468338380643434,0.4237637521873894,0.05409275547164534,0.008998109404408039,0.360672887311336,0.9756591415492434,0.9755650103914516,0.9758234128540519
0.05,fast_bc,0.8118871322793676,0.04962100329965457,0.9993996397838704,0.0498144266508888,0.4237637521873894,0.08928583149466877,0.008998109404408039,0.32547981128831255,0.973098046693867,0.9730127351973636,0.9732560279998287
0.08,myopic,0.2468481088653192,0.04974564922252105,0.339203522113268,0.04886575367883645,0.4237637521873894,0.4027303765024664,0.021033375684922972,0.0,0.0,0.0,0.0
0.08,clock,0.026716029617770663,0.049499819763534375,0.200620372223334,0.05074308926303209,0.4237637521873894,0.34421746346844173,0.021033375684922972,0.05851291303402467,0.7355831928345778,0.7324086400032751,0.7388903013238539
0.08,fast,0.9910946567940765,0.049048170647962595,1.0,0.048403241496392906,0.4237637521873894,0.03791724180003676,0.021033375684922972,0.36481313470242965,0.9454877130706522,0.9453157536940837,0.9457666398325788
0.08,fast_bc,0.9710826495897539,0.04926822456117133,0.9998999399639784,0.0486706526697231,0.4237637521873894,0.05373662028622861,0.021033375684922972,0.3489937562162378,0.9431572069408649,0.9429941279413359,0.9434104618236441
0.12,myopic,0.4318591154692816,0.04999032455259231,0.6344806884130478,0.04868247697330572,0.4237637521873894,0.37898989826105123,0.04477385392633815,0.0,0.0,0.0,0.0
0.12,clock,0.1264758855313188,0.049460579380409736,0.49399639783870325,0.050318778676778565,0.4237637521873894,0.3225248041102949,0.04477385392633815,0.056465094150756345,0.5577408223143291,0.5536792201576324,0.5618428125603229
0.12,fast,0.9988993396037622,0.048549971666135124,1.0,0.047987571747372844,0.4237637521873894,0.03165353502647175,0.04477385392633815,0.3473363632345795,0.8858130903843205,0.8854948021232892,0.8862601762744143
0.12,fast_bc,0.9962977786672004,0.04895699446364359,1.0,0.04856923652745671,0.4237637521873894,0.03822016538587794,0.04477385392633815,0.3407697328751733,0.8838682435421006,0.8835616975402664,0.8842949483526841
0.18,myopic,0.7400440264158495,0.049907611980319795,0.9509705823494097,0.04875842538477876,0.4237637521873894,0.3305215639476967,0.09324218823969266,0.0,0.0,0.0,0.0
0.18,clock,0.4768861316790074,0.04959022652857643,0.8258955373223934,0.050562086462036485,0.4237637521873894,0.2794047804739501,0.09324218823969266,0.051116783473746596,0.3540949541758742,0.3501835801530142,0.35791514610985
0.18,fast,0.9998999399639784,0.04842340219507626,1.0,0.047896160785060996,0.4237637521873894,0.028451653094323445,0.09324218823969266,0.30206991085337326,0.7641301937036306,0.7635570532169453,0.7648249899372015
0.18,fast_bc,0.9995997598559135,0.04876848674078996,1.0,0.04877525227833865,0.4237637521873894,0.03041662874856742,0.09324218823969266,0.3001049351991293,0.762951900030369,0.7623932585544154,0.7636367984857717
0.25,myopic,0.9504702821693016,0.049493279699680266,0.9977986792075245,0.04803668808533145,0.4237637521873894,0.2641951609886436,0.15956859119874578,0.0,0.0,0.0,0.0
0.25,clock,0.816189713828297,0.04957599227195278,0.9375625375225135,0.05063576096897439,0.4237637521873894,0.22213521640704886,0.15956859119874578,0.04205994458159473,0.20860115071914204,0.20554333887153556,0.21155657515886603
0.25,fast,1.0,0.048247974599930826,1.0,0.047734713563067424,0.4237637521873894,0.026473912588314955,0.15956859119874578,0.23772124840032866,0.5983572311847325,0.5975907859689537,0.5992247361098287
0.25,fast_bc,1.0,0.04875155951669698,1.0,0.04837004249018014,0.4237637521873894,0.02701955199265362,0.15956859119874578,0.23717560899598997,0.5978048548147042,0.5970359670037872,0.5986604457165088
0.35,myopic,0.9992995797478487,0.04920628630937657,0.9998999399639784,0.04895352639389211,0.4237637521873894,0.1748789776829776,0.24888477450441177,0.0,0.0,0.0,0.0
0.35,clock,0.9746848108865319,0.04933824171537411,0.9984990994596759,0.049940400962134486,0.4237637521873894,0.14681984761369596,0.24888477450441177,0.02805913006928165,0.10131701621118457,0.0993078121137452,0.10324978662110945
0.35,fast,1.0,0.04808101061683189,1.0,0.047702424118668714,0.4237637521873894,0.024463849305608968,0.24888477450441177,0.15041512837736865,0.37669713238548325,0.3757379640264527,0.3777310275228399
0.35,fast_bc,1.0,0.0485122701215644,1.0,0.048176760604694883,0.4237637521873894,0.024496865882066683,0.24888477450441177,0.15038211180091093,0.3766455896017194,0.3757313905885304,0.3777014961346524
0.5,myopic,1.0,0.04914704102505114,1.0,0.049256410477970185,0.4237637521873894,0.08781837544262863,0.33594537674476077,0.0,0.0,0.0,0.0
0.5,clock,1.0,0.04951251518160411,1.0,0.04970118620503979,0.4237637521873894,0.07422288849339781,0.33594537674476077,0.013595486949230823,0.0388952719448937,0.0378256672629475,0.03990603770074107
0.5,fast,1.0,0.04821758253849116,1.0,0.04787296695880276,0.4237637521873894,0.02168879514722397,0.33594537674476077,0.06612958029540467,0.164470776250804,0.16346426137479467,0.1656038106238419
0.5,fast_bc,1.0,0.04833030246256487,1.0,0.047756088265697556,0.4237637521873894,0.02165851725820469,0.33594537674476077,0.06615985818442394,0.16453369028153897,0.16349625409167232,0.16569389635473164
0.7,myopic,1.0,0.048596906242029295,1.0,0.048859386746138114,0.4237637521873894,0.042103269211825084,0.3816604829755643,0.0,0.0,0.0,0.0
