policy,tpr,fpr,threshold
fast_only,0.10106063638182909,0.026387907939383615,0.9969765469537845
slow_only,0.26135681408845307,0.027927157283167,0.7586724040787725
fast_or_slow,0.30368220932559536,0.04831405960577827,OR
