variant,source_rotation,policy,window_hours,threshold,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset
A_source_persists,2000,myopic,24,0.17416168749332428,0.10436261757054233,0.04980681805503887,0.04863640350877193,0.0581626550351794
A_source_persists,2000,myopic,120,0.19765812158584595,0.13267960776465879,0.05012777069582843,0.04886530612244898,0.060487061512762653
A_source_persists,2000,pod,24,0.4375559091567993,0.26966179707824695,0.05011227750798946,0.04535570175438596,0.08407047779486039
A_source_persists,2000,pod,120,0.5989829301834106,0.558435061036622,0.050618479294507475,0.04511734693877551,0.09575862112274502
A_source_persists,2000,credential,24,0.5149810552597045,0.4195517310386232,0.050328869034451905,0.04049780701754386,0.12051489997275827
A_source_persists,2000,credential,120,0.7627740502357483,0.8419051430858515,0.0500536414079835,0.0386234693877551,0.14384516517974888
A_source_persists,2000,source,24,0.4321740806102752,0.5467280368220933,0.05001610009837026,0.0377719298245614,0.1374298212379017
A_source_persists,2000,source,120,0.7345057129859924,0.9404642785671403,0.0503306029803612,0.036863265306122446,0.16083831182151964
A_source_persists,2000,all_keys,24,0.3547527730464935,0.5495297178306984,0.05009073376823476,0.03746798245614035,0.1402072250072801
A_source_persists,2000,all_keys,120,0.6624566316604614,0.943366019611767,0.05025738325433031,0.03630204081632653,0.16476946843561738
B_source_rotates_1000,1000,myopic,24,0.17416168749332428,0.10436261757054233,0.04980681805503887,0.04863640350877193,0.0581626550351794
B_source_rotates_1000,1000,myopic,120,0.19765812158584595,0.13267960776465879,0.05012777069582843,0.04886530612244898,0.060487061512762653
B_source_rotates_1000,1000,pod,24,0.4375559091567993,0.26966179707824695,0.05011227750798946,0.04535570175438596,0.08407047779486039
B_source_rotates_1000,1000,pod,120,0.5989829301834106,0.558435061036622,0.050618479294507475,0.04511734693877551,0.09575862112274502
B_source_rotates_1000,1000,credential,24,0.5149810552597045,0.4195517310386232,0.050328869034451905,0.04049780701754386,0.12051489997275827
B_source_rotates_1000,1000,credential,120,0.7627740502357483,0.8419051430858515,0.0500536414079835,0.0386234693877551,0.14384516517974888
B_source_rotates_1000,1000,source,24,0.4782869219779966,0.4336601961176706,0.05091401239457513,0.04020614035087719,0.1273597755532106
B_source_rotates_1000,1000,source,120,0.7595846533775299,0.888833299979988,0.04963569775442832,0.03680612244897959,0.15491017788588343
B_source_rotates_1000,1000,all_keys,24,0.38836063742637633,0.43946367820692417,0.05052699449826746,0.0393828947368421,0.13008707959281446
B_source_rotates_1000,1000,all_keys,120,0.686858594417572,0.8937362417450471,0.04907085986790434,0.03646581632653061,0.15250292010834754
