window_length,tau_slow,fast_tpr,fast_fpr,slow_tpr,slow_fpr,or_tpr,or_fpr,fast_threshold,slow_threshold,individual_fpr
274,2000,0.5468,0.0266,0.7486,0.0292,0.8273,0.0483,0.9983,0.8006,0.029
274,2500,0.5468,0.0266,0.7475,0.029,0.8287,0.0485,0.9983,0.7992,0.029
274,3000,0.5468,0.0266,0.7467,0.0289,0.829,0.0486,0.9983,0.7978,0.029
343,2000,0.637,0.0272,0.8161,0.0294,0.8833,0.0488,0.9984,0.8105,0.029
343,2500,0.637,0.0272,0.8139,0.0292,0.8833,0.0489,0.9984,0.8092,0.029
343,3000,0.637,0.0272,0.8132,0.029,0.8832,0.049,0.9984,0.808,0.029
