estimator,policy,kind,k,n_state_dims,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset,threshold,ce_bits,mi_state_given_feat_bits,mi_total_bits,rdet,rdet_lo,rdet_hi
LogisticRegression,myopic,myopic,0,0,0.0966096609660966,0.05001805170167272,0.048828234265734266,0.0587039367385539,0.14711064282285916,0.421290542358339,0.0,0.002282970217544922,0.0,0.0,0.0
LogisticRegression,clock,clock,0,1,0.005200520052005201,0.04998176378348906,0.05681486013986014,9.890982231967145e-05,0.3232855730820263,0.36113716759109027,0.060153374767248746,0.06243634498479367,0.9634352360295764,0.9619234409792592,0.965473378386956
LogisticRegression,mean_10,mean,10,3,0.1499149914991499,0.04997130794265648,0.047591870629370626,0.06734163580254791,0.2822283542090136,0.396309706439569,0.02498083591877004,0.02726380613631496,0.9162637011820576,0.9138838971986215,0.920573146865643
LogisticRegression,mean_30,mean,30,3,0.17321732173217322,0.04998330140714091,0.04667596153846154,0.07412748774156332,0.3616299732180168,0.3530814707781659,0.06820907158017314,0.07049204179771806,0.9676137878925954,0.9665764928751693,0.9694196546546215
LogisticRegression,mean_120,mean,120,3,0.2294229422942294,0.05000136848505014,0.048388811188811186,0.06177333186989338,0.3458861165079753,0.28377410724974583,0.13751643510859318,0.1397994053261381,0.9836696714680654,0.9830920518725687,0.9846407676327944
LogisticRegression,mean_120_clock,mean_clock,120,4,0.20232023202320232,0.05007848031119042,0.05210375874125874,0.03529357711520251,0.3296196104365935,0.2763929406164852,0.1448976017418538,0.1471805719593987,0.9844886442065554,0.9839235953196562,0.9854070655013908
LogisticRegression,lag_30,lag,30,90,0.17481748174817482,0.0499793035856461,0.04666853146853147,0.07414854596179911,0.3633977566749755,0.3529323777255558,0.06835816463278321,0.07064113485032814,0.9676821412569037,0.9666481130965616,0.9694860261197474
LogisticRegression,ema_120,ema,120,3,0.2003200320032003,0.050150748622827375,0.05402561188811189,0.02186353762784892,0.3260008290185826,0.26080782248341383,0.16048271987492518,0.1627656900924701,0.9859738854285082,0.9854898802543358,0.9867833669300491
LogisticRegression,ema_120_bc,ema_bc,120,3,0.06050605060506051,0.049780411966279296,0.04377202797202797,0.09364271474917746,0.2609017687581851,0.38547461948026707,0.03581592287807195,0.03809889309561687,0.9400777809524453,0.937252769353959,0.9440846132968939
LogisticRegression,ema_120_clock,ema_clock,120,4,0.2688268826882688,0.050039501551616024,0.05252403846153846,0.031901927401466676,0.33801075721184237,0.25767122439858386,0.16361931795975515,0.16590228817730007,0.9862390673291672,0.9857400273486473,0.9870540252513704
HistGradientBoosting,myopic,myopic,0,0,0.08060806080608061,0.050193110154435845,0.04949361888111888,0.055299524467099404,0.1530644883704833,0.4216010152772144,0.0,0.001972497298669551,0.0,0.0,0.0
HistGradientBoosting,clock,clock,0,1,0.05490549054905491,0.050849291047862843,0.05754772727272727,0.0019494806915264274,0.2881788181695492,0.35368538820387124,0.06791562707334314,0.0698881243720127,0.9717763594831935,0.9705017504516626,0.973588834020239
HistGradientBoosting,ema_120,ema,120,3,0.18031803180318032,0.05018473010553326,0.055010314685314685,0.014957079518392122,0.3505018952775862,0.2668188385464128,0.15478217673080158,0.15675467402947113,0.987416660390626,0.986930468762973,0.9882495179108601
HistGradientBoosting,ema_120_bc,ema_bc,120,3,0.12921292129212922,0.04980931929093408,0.04407351398601399,0.09168174775570423,0.5029470313452791,0.3345044185007262,0.08709659677648818,0.08906909407515773,0.9778543015492542,0.9767908803439301,0.9793839600159804
